city,Temperature (°C),Humidity (%),Weather Condition
Bandipura,5.36,43,clear sky
Ambahta,17.59,22,clear sky
Kheri Sāmpla,19.45,21,clear sky
Utrān,25.5,54,clear sky
Sheikhpura,21.36,70,broken clouds
Sārangarh,24.66,52,overcast clouds
Safidon,17.77,20,clear sky
Pahār Ganj,20.07,60,haze
Mudgere,19.89,95,few clouds
Milkīpur,22.18,18,clear sky
Khawhai,13.91,87,few clouds
Kankipādu,23.86,84,clear sky
Kālāgarh Project Colony,17.42,23,clear sky
Kaimori,23.5,27,clear sky
Digha,21.54,77,clear sky
Diamond Harbour,22.79,64,clear sky
Deogarh,24.37,58,overcast clouds
Chopda,26.41,24,clear sky
Bālāpur,26.49,21,clear sky
Bairāgnia,20.03,83,clear sky
Yairipok,14.88,87,overcast clouds
Timurni,23.84,21,clear sky
Swāmimalai,25.57,90,few clouds
Rāmpur,17.42,24,clear sky
Rāīwāla Bara,17.02,31,clear sky
Pathanāmthitta,24.29,94,clear sky
Pārvatipuram,22.43,90,scattered clouds
Mau,20.6,70,clear sky
Marhaura,20.33,82,clear sky
Mānvi,27.04,49,clear sky
Manchar,22.34,38,clear sky
Jumri Tilaiyā,20.34,81,overcast clouds
Jaso,23.42,19,clear sky
Jāmai,21.68,17,clear sky
Husainābād,21.68,77,broken clouds
Haldībāri,19.87,74,overcast clouds
Gūduvāncheri,28.04,85,few clouds
Gohānd,24.32,17,clear sky
Dātāganj,20.34,14,clear sky
Cuttack,23.1,95,scattered clouds
Chāpra,20.3,83,clear sky
Borivli,25.95,73,haze
Bhābhra,24.08,21,clear sky
Berasia,23.61,20,clear sky
Barddhamān,20.77,79,overcast clouds
Addanki,24.99,83,clear sky
Sultānpur,18.04,22,clear sky
Samdari,25.04,20,clear sky
Sālūmbar,24.07,21,clear sky
Pīpār,24.22,19,clear sky
Ongole,26.25,79,clear sky
Mustafābād,18.03,23,clear sky
Manamadurai,27.62,76,scattered clouds
Mahwah,23.16,15,broken clouds
Kumsi,21.0,74,few clouds
Islāmpur,19.76,82,clear sky
Harsūd,25.89,20,clear sky
Ghugus,29.15,47,overcast clouds
Dharampuri,26.83,19,clear sky
Dalmau,22.75,18,clear sky
Curchorem,22.74,66,clear sky
Birdpur,20.66,21,clear sky
Bhaisa,26.39,54,clear sky
Atmakūr,25.34,68,clear sky
Amroli,25.03,58,clear sky
Allahābād,22.99,44,clear sky
Fatehpur,16.86,26,clear sky
Varca,28.0,51,clear sky
State of Tamil Nādu,26.28,75,clear sky
Srīnivāspur,21.04,82,clear sky
Rāmnagar,17.99,21,clear sky
Rājpura,18.51,23,clear sky
Olpād,24.98,62,clear sky
Nirsā,21.0,82,overcast clouds
Nedumangād,28.6,79,mist
Mainpuri,21.66,14,clear sky
Mahāsamund,26.39,48,overcast clouds
Lodhīkheda,25.28,19,few clouds
Kushālgarh,25.74,22,clear sky
Kottaiyūr,27.6,75,clear sky
Jamālpur,21.74,71,overcast clouds
Gāndhīdhām,26.23,37,clear sky
Dubbī,21.83,18,scattered clouds
Doda,9.86,59,clear sky
Chitradurga,25.6,56,clear sky
Brahmapur,21.77,92,overcast clouds
Ashta,24.22,33,clear sky
Asian Games Village,20.04,60,haze
Kanuru,26.98,73,clear sky
Kyathampalle,28.36,40,scattered clouds
Uttarkāshi,8.3,40,clear sky
Tiruvānmiyūr,28.49,82,few clouds
Sunām,17.38,23,clear sky
Siwāna,24.99,20,clear sky
Muktsar,17.37,22,clear sky
Malavalli,25.46,53,clear sky
Kushālnagar,21.17,84,clear sky
Jasrāna,21.85,14,few clouds
Devgadh Bāriya,24.67,22,clear sky
Dagshai,11.69,33,clear sky
Bhulath Gharbi,15.99,33,clear sky
Bhadrakh,21.39,80,broken clouds
Bānskhoh,20.79,19,clear sky
Bāghpat,19.27,19,clear sky
Milkia,21.21,13,clear sky
Virār,24.84,66,clear sky
Tānda,18.56,18,clear sky
Simdega,19.98,79,scattered clouds
Sanvordem,22.16,66,clear sky
Sankeshwar,23.82,33,clear sky
Saugor,23.06,20,clear sky
Sabalgarh,23.02,20,scattered clouds
Rānīr Bāzār,23.09,53,overcast clouds
State of Rājasthān,23.14,19,clear sky
Parīchhatgarh,19.68,17,clear sky
Nizāmābād,20.87,59,clear sky
Nellikkuppam,27.21,79,clear sky
Narasaraopet,24.61,82,clear sky
Lālsot,22.03,18,few clouds
Kharhiāl,27.39,34,overcast clouds
Kelamangalam,19.04,80,clear sky
Kātoya,20.81,77,overcast clouds
Jejūri,23.89,32,clear sky
Itaunja,21.06,17,clear sky
Dhār,23.29,21,clear sky
Bachhraon,18.74,18,clear sky
Singrauli,18.75,79,scattered clouds
Warud,25.51,17,clear sky
Vasco da Gama,27.93,51,clear sky
Umarkhed,28.56,20,overcast clouds
Sringeri,20.28,90,scattered clouds
Shām Churāsi,16.68,29,clear sky
Sambalpur,24.94,48,overcast clouds
Narauli,19.65,16,clear sky
Muttupet,27.29,79,clear sky
Lātehār,20.91,78,broken clouds
Lakhipur,20.62,78,overcast clouds
Jhālāwār,24.3,20,clear sky
Jamālpur,20.81,19,clear sky
Durgapur,20.77,79,broken clouds
Dīglūr,28.15,35,clear sky
Baswa,22.27,17,scattered clouds
Kala Ghoda,25.96,73,haze
Wani,30.26,39,overcast clouds
Rājnagar,21.59,23,clear sky
Pāthardi,25.72,23,few clouds
Mariāhu,19.98,59,clear sky
Lonavla,20.13,53,few clouds
Khūtār,18.93,14,clear sky
Kapadvanj,24.68,24,clear sky
Jubbal,4.39,71,clear sky
Igatpuri,21.79,32,clear sky
Bannūr,24.98,60,clear sky
Aurās,21.88,16,clear sky
Akalkot,29.63,20,clear sky
Ajmer,21.54,22,clear sky
Waghāi,23.55,34,clear sky
Vilattikulam,27.99,73,overcast clouds
Vemalwāda,26.54,57,overcast clouds
Tiruchchendur,28.09,76,overcast clouds
Ponnūru,24.43,91,clear sky
Pennādam,26.07,83,clear sky
Papanasam,25.58,90,few clouds
Nāgercoil,26.86,90,broken clouds
Mughal Sarāi,21.14,69,clear sky
Gursahāiganj,22.03,14,clear sky
Gaya,22.03,72,overcast clouds
Bobbili,22.36,83,broken clouds
Bīsalpur,19.39,15,clear sky
Bahraigh,20.45,17,clear sky
Monoharpur,22.59,65,clear sky
BIAL 2 Wheeler Parking,23.01,73,few clouds
Padampur,21.04,13,scattered clouds
Airoli,26.01,73,haze
Shrīrangapattana,24.95,67,clear sky
Sardārshahr,23.18,17,clear sky
Rabūpura,20.89,18,clear sky
Periyanegamam,25.26,78,clear sky
Morsi,25.85,18,clear sky
Majītha,17.94,72,mist
Madgaon,27.96,51,clear sky
Kot Bhāi,17.98,22,clear sky
Captainganj,19.46,61,clear sky
Joshīmath,3.11,47,scattered clouds
Iglās,21.52,17,overcast clouds
Hāveri,24.95,54,scattered clouds
Gudibanda,23.28,62,clear sky
Dhorāji,25.18,48,clear sky
Dharamsala,7.72,41,broken clouds
Dayāl Bāgh,22.94,15,overcast clouds
Bishnupur,23.74,58,few clouds
